Title,Year,Rating,Directors,Stars,Votes,Gross Worldwide,Production Company,total_minute,Genre_Cleaned,Primary_Language
RDX: Robert Dony Xavier,2023,7.0,Nahas Hidhayath,"Antony Varghese,Shane Nigam,Neeraj Madhav",5900,1718847.0,Weekend Blockbusters,151,"Kung Fu, Action, Adventure",Malayalam
Abrahaminte Santhathikal,2018,6.7,Shaji Padoor,Renji Panicker,5800,2735.0,Goodwill Entertainments,131,"Action, Crime, Thriller",Malayalam
Head Bush,2022,6.0,ShoonyaAbhishek Basanth,Payal Rajput,1300,370556.0,"Daali Pictures, Somanna Talkies",138,"Action, Biography, Crime",Kannada
Thugs of Ramaghada,2023,7.8,Karthik Maralabhavi,"Chandan Raj,Ashwin Hassan",1300,131028.0,Unknown,118,"Crime, Drama",Kannada
Mounam,2020,2.3,Raj Pandith,"Aviansh,Kempegowda,Mayuri Kyatari",1300,481860.0,Niharika Movies,142,Family,Kannada
Bhairathi Ranagal,2024,6.9,Narthan,"Rukmini Vasanth,Rahul Bose",1300,15665.0,"Geetha Pictures, KVN Productions",150,Drama,Kannada
Chow Chow Bath,2024,7.1,Kenja Chethan Kumar,"Aruna Balraj,Geetha Bangera,Sushmitha Bhat",1200,149229.0,Horizon Movies,110,"Comedy, Romance",Kannada
Purushothamana Prasanga,2024,6.3,Devadas KapikadArjun Kapikad,Unknown,1200,481860.0,Rashtrakuta pictures,133,Unknown,Kannada
Anbe Sivam,2003,8.6,Sundar C.,"Kamal Haasan,Kiran Rathod",27000,2452343.0,Lakshmi Movie Makers,160,"Adventure, Comedy, Drama",Tamil
Theeran Adhigaaram Ondru,2017,8.2,H. Vinoth,"Rakul Preet Singh,Abhimanyu Singh",18000,238484.0,Dream Warrior Pictures,157,"Action, Crime, Thriller",Tamil
Dhuruvangal Pathinaaru,2016,8.2,Karthick Naren,Prakash Raghavan,18000,1061366.5,Knight Nostalgia Filmotainment,105,"Drama, Mystery, Thriller",Tamil
Nanban,2012,7.8,S. Shankar,Joseph Vijay,18000,15007076.0,Gemini Film Circuit,188,"Comedy, Drama",Tamil
Peranbu,2018,8.7,Ram,"Mammootty,Sadhana",17000,3417.0,Shree Raajalakshmi Films,147,"Drama, Family",Tamil
Velayudham,2011,6.1,Mohan Raja,"Joseph Vijay,Genelia Deshmukh,Hansika Motwani",13000,107843.0,Aascar Film P.,160,"Action, Superhero",Tamil
Bairavaa,2017,5.8,Bharathan,"Joseph Vijay,Keerthy Suresh,Jagapathi Babu",12000,429872.0,Vijaya Productions Pvt. Ltd.Goldmines Telefilms,169,Action,Tamil
Soodhu Kavvum,2013,8.3,Nalan Kumarasamy,"Vijay Sethupathi,Sanchita Shetty,Radha Ravi",12000,11864915.0,"Goldmines Telefilms, Thirukumaran Entertainment",135,"Comedy, Crime, Thriller",Tamil
Baasha,1995,8.3,Suresh Krishna,"Rajinikanth,Nagma,Raghuvaran",12000,2397623.0,Sathya Movies,145,"Action, Crime, Drama",Tamil
Billa 2,2012,6.1,Chakri Toleti,"Ajith Kumar,Parvathy Omanakuttan,Bruna Abdullah",12000,1155290.0,"IN Entertainment, Industria, TN Entertainment",129,"Action, Crime, Thriller",Tamil
Viswasam,2019,6.5,Siva,"Ajith Kumar,Jagapathi Babu",11000,918734.0,"Sathya Jyothi Films, Goldmines Telefilms",153,"Action, Drama",Tamil
Annaatthe,2021,4.0,Siva,"Aditya Nath Uppal,Keerthy Suresh",11000,230333.0,"Sun Pictures, Sun Pictures",163,"Action, Comedy, Drama",Tamil
Kaala,2018,6.5,Pa. Ranjith,Nana Patekar,11000,1509872.0,Wunderbar Films,162,"Action, Crime, Drama",Tamil
Yennai Arindhaal,2015,7.3,Gautham Vasudev Menon,"Ajith Kumar,Arun Vijay,Trisha Krishnan",11000,841040.0,Sri Sathya Sai Movies,168,"Crime, Drama, Thriller",Tamil
Puli,2015,4.3,Chimbudeven,Joseph Vijay,11000,1387272.0,SKT Studios,155,"Action, Adventure, Fantasy",Tamil
Agent,2023,3.6,Surender Reddy,"Akhil Akkineni,Sakshi Vaidya",2000,45291.0,"AK Entertainments, Surrender 2 Cinema",156,"Action, Mystery, Thriller",Telugu
Drinker Sai,2024,8.9,Kiran Tirumalasetti,"Badram,Ritu Chowdary,Mahesh Dharma",2100,50013.0,"Everest Cinemass, Smart Screens Entertainments",148,Drama,Telugu
Bheemla Nayak,2022,6.3,Saagar K Chandra,"Pawan Kalyan,Rana Daggubati,Nithya Menen",10000,15243922.0,Sithara Entertainments,130,"Action, Drama, Thriller",Telugu
Jathi Ratnalu,2021,7.4,Anudeep K.V.,"Naveen Polishetty,Rahul Ramakrishna,Priyadarshi Pulikonda",8500,731273.0,Swapna Cinema,145,Comedy,Telugu
Vinaya Vidheya Rama,2019,3.3,Boyapati Srinu,"Ram Charan,Vivek Oberoi,Kiara Advani",4400,42832.0,DVV Entertainment,146,"Action, Drama",Telugu
