Title,Year,Rating,Directors,Stars,Votes,Gross Worldwide,Production Company,total_minute,Genre_Cleaned,Primary_Language
Jaat,2025,6.8,Gopichand Malineni,"Sunny Deol,Randeep Hooda,Regena Cassandrra",5400,531499.0,"Mythri Movie Makers, People Media Factory",158,"Action, Drama, Thriller",Hindi
Chhaava,2025,7.4,Laxman Utekar,"Vicky Kaushal,Akshaye Khanna,Rashmika Mandanna",31000,8219603.0,Maddock Films,161,"Action, Drama, History",Hindi
Good Bad Ugly,2025,7.0,Adhik Ravichandran,"Trisha Krishnan,Ajith Kumar,Priya Prakash Varrier",8000,1462902.0,Mythri Movie Makers,139,"Action, Drama, Thriller",Tamil
Court - State vs a Nobody,2025,7.9,Ram Jagadeesh,"Priyadarshi Pulikonda,Harsh Roshan,Sri Devi",5400,133791.0,Wall Poster Cinema,155,Drama,Telugu
Deva,2025,6.8,Rosshan Andrrews,"Shahid Kapoor,Pooja Hegde,Saadhika Syal",24000,1091296.0,"Roy Kapur Films, Zee Studios",156,"Crime, Drama, Mystery",Hindi
Kesari Chapter 2,2025,8.4,Karan Singh Tyagi,"Akshay Kumar,Ananya Panday",5000,888665.0,"Cape of Good Films, Dharma Productions, Leo Media Collective",133,"Biography, Drama, History",Hindi
Dragon,2025,7.9,Ashwath Marimuthu,"Kayadu Lohar,Anupama Parameswaran,Pradeep Ranganathan",11000,738241.0,AGS Entertainment,157,"Comedy, Drama, Romance",Tamil
Pushpa the Rule,2024,6.1,Sukumar,"Allu Arjun,Rashmika Mandanna,Fahadh Faasil",56000,154621981.0,"AR Film Studio, Muttamsetty Media, Mythri Movie Makers",201,"Crime, Drama, Thriller",Telugu
Sikandar,2025,4.3,A.R. Murugadoss,"Salman Khan,Rashmika Mandanna,Ananth Mahadevan",49000,3019351.0,"Nadiadwala Grandson Entertainment, Salman Khan Films",148,"Action, Drama, Thriller",Hindi
Lucky Baskhar,2024,8.0,Venky Atluri,"Dulquer Salmaan,Meenaakshi Chaudhary,Tinnu Anand",32000,987421.0,"Fortune Four Cinemas, Sithara Entertainments",148,"Crime, Drama, Thriller",Telugu
The Diplomat,2025,7.5,Shivam Nair,"John Abraham,Sadia Khateeb,Kumud Mishra",6800,85823.0,"Fortune Films, JA Entertainment",130,"Thriller, Drama",Hindi
Chhorii 2,2025,4.6,Vishal Furia,"Nushrratt Bharuccha,Saurabh Goyal,Soha Ali Khan",1100,1021.0,"Abundantia Entertainment, Crypt TVPsych Productions",132,Horror,Hindi
Chhorii,2021,6.7,Vishal Furia,"Nushrratt Bharuccha,Mita Vashisht,Saurabh Goyal",6900,1444020.0,"Abundantia Entertainment, T-Series Films, Crypt TV",129,"Drama, Horror, Thriller",Hindi
12th Fail,2023,8.8,Vidhu Vinod Chopra,"Vikrant Massey,Medha Shankr,Anant Joshi",147000,138288.0,"Vinod Chopra Films, Zee Studios",147,"Drama, Biography",Hindi
Crazxy,2025,6.9,Girish Kohli,"Shilpa Shukla,Sohum Shah,Nimisha Sajayan",16000,100199.5,Sohum Shah FIlms,93,Thriller,Hindi
Perusu,2025,6.4,Ilango Ramanathan,"Chandini Tamilarasan,Vaibhav Reddy",1400,126875.5,"Baweja Studios, Emberlight Studios, Stone Bench Films",125,Comedy,Tamil
14 Days: Girlfriend Intlo,2025,7.2,Sriharsha Manne,"Ashok Chandra,Vennela Kishore",12000,1867.0,Satya Arts Entertainment,90,Comedy,Telugu
3 Idiots,2009,8.4,Rajkumar Hirani,"Aamir Khan,Madhavan,Mona Singh",458000,60262836.0,Vinod Chopra Productions,170,"Comedy, Drama",Hindi
Rekhachithram,2025,8.0,Jofin T. Chacko,"Asif Ali,Anaswara Rajan",12000,1747519.0,"Ann Mega Media Release, Kavya Film Company",147,"Drama, Mystery, Thriller",Malayalam
Alappuzha Gymkhana,2025,7.3,Khalid Rahman,"Lukman Avaran,Franco Francis",2000,1219824.0,"Plan B Motion Pictures, Reelistic Studios",139,"Action, Comedy, Drama",Malayalam
Officer on Duty,2025,7.5,Jithu Ashraf,Kunchacko Boban,7400,1266113.0,"Martin Prakkat Films, The Green Room",134,"Action, Crime, Thriller",Malayalam
Praavinkoodu Shappu,2025,6.6,Sreeraj Sreenivasan,"Soubin Shahir,Basil Joseph,Chandini Sreedharan",2400,197118.0,Anwar Rasheed Entertainment,146,Thriller,Malayalam
Superboys of Malegaon,2024,7.8,Reema Kagti,"Adarsh Gourav,Shashank Arora,Vineet Kumar Singh",3000,176169.0,"Excel Entertainment, Tiger Baby Films",127,"Comedy, Drama",Hindi
Rise Roar Revolt,2022,7.8,S.S. Rajamouli,"N.T. Rama Rao Jr.,Ram Charan,Ajay Devagn",178000,166602994.0,DVV Entertainment,187,"Action, Adventure, Drama",Telugu
Maharaja,2024,8.4,Nithilan Saminathan,"Vijay Sethupathi,Anurag Kashyap,Mamta Mohandas",67000,975543.0,"Passion Studios, The Route",141,"Crime, Drama, Thriller",Tamil
Sky Force,2025,6.9,Abhishek Anil KapurSandeep Kewlani,"Akshay Kumar,Veer Pahariya,Nimrat Kaur",11000,313178.0,"Jio Studios, Maddock Films",125,"Action, Thriller",Hindi
Kaushaljis vs Kaushal,2025,6.5,Seemaa Desai,"Ashutosh Rana,Sheeba Chaddha,Isha Talwar",7800,50013.0,"Jio Studios, Merry Go Round Studios, Mumbai Talkeez",131,Drama,Hindi
Tumbbad,2018,8.2,Rahi Anil BarveAnand GandhiAdesh Prasad,"Sohum Shah,Jyoti Malshe,Anita Date",68000,1691980.0,"Colour Yellow Productions, Sohum Shah FIlms, Film i Väst",108,"Fantasy, Horror, Thriller",Hindi
Bazooka,2025,7.8,Deeno Dennis,"Gautham Vasudev Menon,Shine Tom Chacko",1900,592400.0,"Jumping Tomato Studios, Saregama India, Theatre of Dreams",154,"Action, Crime, Thriller",Malayalam
L2: Empuraan,2025,6.3,Prithviraj Sukumaran,"Prithviraj Sukumaran,Rick Yune",11000,9280633.0,"Lyca Productions, Aashirvad Cinemas, Sree Gokulam Movies",179,"Action, Crime, Thriller",Malayalam
Dangal,2016,8.3,Nitesh Tiwari,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",225000,303726694.0,"Aamir Khan Productions, UTV Motion Pictures, Walt Disney Pictures",161,"Biography, Drama, Sport",Hindi
Marco,2024,6.8,Haneef Adeni,Unni Mukundan,21000,1983898.0,Cubes Entertainments,145,"Crime, Drama, Thriller",Malayalam
Azaad,2025,4.8,Abhishek Kapoor,"Ajay Devgn,Diana Penty,Aman Devgan",3100,138980.0,"Guy in the Sky Pictures, RSVPZeal Z Entertainment services",147,"Adventure, Drama",Hindi
Nanban Oruvan Vandha Piragu,2024,6.2,Ananth Ram,"Ananth Ram,Bhavani Sre",6300,50013.0,"Masala Popcorn Productions, White Feather Studios",134,Drama,Tamil
Kalki 2898 AD,2024,7.0,Nag Ashwin,"Amitabh Bachchan,Kamal Haasan",67000,125857438.0,Vyjayanthi Movies,180,"Drama, Fantasy, Sci-Fi",Telugu
Dhoom Dhaam,2025,6.4,Rishab Seth,"Pratik Gandhi,Yami Gautam,Pavitra Sarkar",6100,5124512.5,"B62 Studios, Jio Studios",108,"Action, Comedy, Romance",Hindi
Identity,2025,7.4,Anas KhanAkhil Paul,"Tovino Thomas,Trisha Krishnan,Vinay Rai",8800,435906.0,"Century Films, Ragam Movies",157,"Action, Crime, Thriller",Malayalam
Kesari,2019,7.4,Anurag Singh,"Akshay Kumar,Parineeti Chopra,Suvinder Vicky",24000,22459511.0,"Dharma Productions, Hari Om Entertainment, Azure Entertainment",150,"Drama, History, Thriller",Hindi
Kill,2023,7.5,Nikhil Nagesh Bhat,"Raghav Juyal,Tanya Maniktala",40000,1930699.0,"Sikhya Entertainment, Dharma Productions",105,"Crime, Drama, Thriller",Hindi
Bãhubali: The Beginning,2015,8.0,S.S. Rajamouli,"Rana Daggubati,Anushka Shetty",145000,24548038.0,Arka Mediaworks,159,"Period Drama, Action, Drama",Telugu
Amaran,2024,8.1,Rajkumar Periasamy,"Sai Pallavi,Bhuvan Arora",19000,1738671.0,"Raajkamal Films International, Sony Pictures Films India, Turmeric Media",167,"Biography, Drama, War",Tamil
Sankrathiki Vasthunam,2025,6.2,Anil Ravipudi,"Venkatesh Daggubati,Aishwarya Rajesh, Meenaakshi Chaudary",3200,651053.0,Sri Venkateswara Creations,160,"Comedy, Action",Telugu
Stree 2,2024,6.9,Amar Kaushik,"Rajkummar Rao,Shraddha Kapoor,Pankaj Tripathi",42000,7387498.0,"Maddock Films, Jio Studios",147,"Horror, Comedy",Hindi
Veera Dheera Sooran,2025,7.1,S.U. Arun Kumar,Dushara Vijayan,4300,603618.0,HR Pictures,162,Action,Tamil
Animal,2023,6.1,Sandeep Reddy Vanga,"Ranbir kapoor,Anil Kapoor,Bobby Deol",106000,92870950.0,"Bhadrakali Pictures, Cars on Film, Cine1 Studios",204,"Crime, Drama, Thriller",Hindi
Nilavuku Enmel Ennadi Kobam,2025,5.7,Dhanush,"Karthikeya Anjaneyan,Priyanka Arulmohan,Rabiya Khatoon",1600,75461.0,"Raja Kasthoori (RK) Productions, Wunderbar Films",136,"Comedy, Drama, Romance",Tamil
Mon Potongo,2024,6.9,"Sarmistha Maiti, Rajdeep paul","Subhankar Mohanta,Baishakhi Roy,Seema Biswas",371,616333.0,Aurora Film Corporation,149,"Drama, Romance",Bengali
Laapataa Ladies,2023,8.4,Kiran Rao,"Nitanshi Goel,Pratibha Ranta,Sparsh Shrivastava",51000,108886.0,"Jio Studios, Aamir Khan Productions, Kindling Productions",122,"Comedy, Drama",Hindi
Taare Zameen Par,2007,8.3,Aamir Khan,"Darsheel Safary,Aamir Khan,Tisca Chopra",217000,21897373.0,"Aamir Khan Productions, PVR Pictures",162,"Drama, Family",Hindi
Be Happy,2025,6.5,Remo D'Souza,"Nora Fatehi,Abhishek Bachchan,Sonali Bendre",1300,50013.0,"Karishma Internationals, Remo D'Souza Entertainment, Salman Khan Films",128,Drama,Hindi
Do Patti,2024,6.4,Shashanka Chaturvedi,"Kriti Sanon,Shaheer Sheikh",69000,1061366.5,"Blue Butterfly Films, Katha pictures, Vipin Priyanka Production",126,"Drama, Mystery, Thriller",Hindi
Robinhood,2025,4.6,Venky Kudumula,"Nitiin,Sreeleela,Shine Tom chacko",489,44478.0,Mythri Movie Makers,150,"Action, Comedy, Crime",Telugu
Agra,2023,5.6,Kanu Behl,"Mohit Agarwal,Priyanka Bose,Vibha Chhiber",1200,50013.0,"Saregama India, Saregama, UFO Production",132,Drama,Hindi
Mere Husband Ki Biwi,2025,4.5,Mudassar Aziz,"Arjun Kapoor,Bhumi Pednekar,Rakul Preet Singh",8200,147492.0,Pooja Entertainment & Films,142,"Comedy, Romance",Hindi
Ponman,2025,7.4,Jotish Shankar,"Basil Joseph,Sajin Gopu,Lijo Mol Jose",5600,425812.0,Ajith Vinayaka Films,125,"Comedy, Drama",Malayalam
Fighter,2024,6.2,Siddharth Anand,"Hrithik Roshan,Deepika Padukone,Anil Kapoor",52000,3800771.0,"Betterfly Films, Manomay Motion Pictures, Marlix Pictures",166,"Action, Drama",Hindi
VidaaMuyarchi,2025,6.3,Magizh Thirumeni,"Ajith Kumar,Arjun Sarja,Trisha Krishnan",22000,1144195.0,Lyca Productions,154,"Drama, Mystery, Thriller",Tamil
Mad Square,2025,5.8,Kalyan ShankarMurali,"Narne Nithiin,Ram Nithin,Sangeeth Shobhan",771,216446.0,"Fortune Four Cinemas, Sithara Entertainments, Srikara Studios",130,Comedy,Telugu
PK,2014,8.1,Rajkumar Hirani,"Aamir Khan,Anushka Sharma,Sanjay Dutt",210000,100370104.0,"Rajkumar Hirani Films, Vinod Chopra Productions",153,"Comedy, Drama, Sci-Fi",Hindi
Bãhubali 2: The Conclusion,2017,8.2,S.S. Rajamouli,"Rana Daggubati,Anushka Shetty",123000,254158390.0,Arka Mediaworks,167,"Period Drama, Action, Drama",Telugu
K.G.F: Chapter 2,2022,8.2,Prashanth Neel,"Yash,Sanjay Dutt,Raveena Tandon",158000,89123940.0,Hombale Films,166,"Crime, Drama, Thriller",Kannada
Raid,2018,7.4,Raj Kumar Gupta,"Ajay Devgn,Saurabh Shukla",20000,15694591.0,"Panorama Studios, Super Cassettes Industries Limited (T-Series)T-Series",122,"Crime, Drama, Thriller",Hindi
Teri Baaton Mein Aisa Uljha Jiya,2024,6.2,Amit JoshiAradhana Sah,"Shahid Kapoor,Kriti Sanon",54000,1699722.0,"Jio Studios, Maddock Films",141,"Drama, Romance, Sci-Fi",Hindi
Iratta,2023,7.7,Rohit M.G. Krishnan,Joju George,6900,34287.0,"Appu Pathu Pappu Production House, Martin Prakkat Films",112,"Crime, Drama, Thriller",Malayalam
The Goat Life,2024,7.1,Blessy,"Prithviraj Sukumaran,Jimmy Jean",47000,5138042.0,"Alta Global Media, Image Makers, Jet Media Productions",173,"Survival, Adventure, Drama",Malayalam
Munjya,2024,6.3,Aditya Sarpotdar,"Abhay Verma,Mona Singh",26000,232949.0,Maddock Films,123,"Horror, Comedy",Hindi
Sector 36,2024,7.1,Aditya Nimbalkar,"Vikrant Massey,Deepak Dobriyal,Akash Khurana",25000,987421.0,"Jio Studios, Maddock Films",123,"Crime, Drama, Thriller",Hindi
Game Changer,2025,5.3,S. Shankar,"Ram Charan,Kiara Advani,Sankalpa Banerjee",27000,2849061.0,"Benay's Bird & Animal Source, Sri Venkateswara Creations, Zee Studios",165,"Action, Drama, Thriller",Telugu
Zindagi Na Milegi Dobara,2011,8.2,Zoya Akhtar,"Hrithik Roshan,Farhan Akhtar,Abhay Deol",90000,5192743.0,"Eros Worldwide, Excel Entertainment",155,"Drama, Musical, Romance",Hindi
Baby John,2024,5.2,Kalees,"Salman Khan,Wamiqa Gabbi,Sanya Malhotra",17000,366347.0,"A for Apple Productions, Cine1 Studios, Jio Studios",159,"Crime, Drama, Thriller",Hindi
Fateh,2025,6.3,Sonu Sood,"Sonu Sood,Jacqueline Fernandez,Vijay Raaz",19000,101332.0,"Shakti Sagar Productions, Zee Studios",127,"Action, Crime, Thriller",Hindi
Emergency,2025,5.2,Kangana Ranaut,"Anupam Kher,Kangana Ranaut,Mahima Chaudhry",11000,147371.0,"Ease My Trip & Gateaway Pictures, Manikarnika Films, Zee Studios",146,"Biography, Drama, History",Hindi
Bhool Chuk Maaf,2025,5.5,Karan Sharma,"Wamiqa Gabbi, Rajkummar rao,Sanjay Mishra",11000,50013.0,"Amazon MGM Studios, Maddock Films",140,Drama,Hindi
Viduthalai Part 1,2023,8.2,Vetrimaaran,"Vijay Sethupathi,Bhavani Sre",11000,5880.0,"Grass Root Film Company, RS Infotainment",150,"Crime, Drama, Thriller",Tamil
Kishkkindha Kandam,2024,8.0,Dinjith Ayyathan,"Asif Ali,Aparna Balamurali",12000,1882951.0,Goodwill Entertainments,133,"Drama, Mystery, Thriller",Malayalam
Viduthalai Part 2,2024,7.8,Vetrimaaran,"Vijay Sethupathi,Manju Warrier",16000,303691.0,"Grass Root Film Company, RS Infotainment",170,"Crime, Drama, Thriller",Tamil
Manamey,2024,5.3,Sriram Adittya,"Vikram Aditya,Adith Arun,Tanikella Bharani",709,43939.0,People Media Factory,155,Comedy,Telugu
Shaitaan,2024,6.5,Vikas Bahl,"Ajay Devgn,Madhavan,Jyotika",54000,1503613.0,"Jio Studios, Ajay Devgn Ffilms, Panorama Studios",132,"Drama, Horror, Thriller",Hindi
Loveyapa,2025,5.3,Advait Chandan,"Khushi Kapoor,Junaid Khan,Ashutosh Rana",1900,110780.0,"AGS Entertainment, Phantom Films",137,"Comedy, Drama",Hindi
Sookshma Darshini,2024,7.8,Mc Jithin,"Nazriya Nazim,Basil Joseph,Akhila Bhargavan",10000,1655739.0,"AVA Productions, Happy Hours Entertainments",142,"Comedy, Mystery, Thriller",Malayalam
Thandel,2025,6.6,Chandoo Mondeti,"Naga Chaitanya Akkineni,Sai Pallavi,Shiva Alapati",3600,229885.0,"GA2 Pictures, Geetha Arts",152,"Adventure, Romance, Thriller",Telugu
Hanu Man,2024,7.7,Prasanth Varma,"Teja Sajja,Amritha Aiyer,Varalaxmi Sarathkumar",29000,775578.0,Primeshow Entertainment,158,"Action, Adventure, Fantasy",Telugu
Naadaniyaan,2025,2.9,Shauna Gautam,"Ibrahim Ali Khan,Khushi Kapoor,Suniel Shetty",15000,320366.0,"Dharma Productions, Dharmatic Entertainment",119,"Comedy, Drama, Romance",Hindi
Singham Again,2024,4.7,Rohit Shetty,"Ajay Devgn,Kareena Kapoor,Deepika Padukone",75000,5866875.0,"Jio Studios, Ajay Devgn Ffilms, Bollygrad Productions",144,"Crime, Drama, Thriller",Hindi
Thalavan,2024,7.2,Jis Joy,"Biju Menon,Asif Ali,Miya George",4700,584469.0,"Arun Narayan Productions, London Studios",131,"Crime, Mystery, Thriller",Malayalam
Lagaan: Once Upon a Time in India,2001,8.1,Ashutosh Gowariker,"Aamir Khan,Raghubir Yadav,Gracy Singh",124000,1724806.0,"Aamir Khan Productions, Jhamu Sughand Productions",224,"Drama, Musical, Sport",Hindi
Pushpa: The Rise-Part 1,2021,7.6,Sukumar,"Rashmika Mandanna,Samantha Ruth Prabhu,Fahadh Faasil",97000,7592374.0,"Mythri Movie Makers, Muttamsetty Media",179,"Crime, Drama, Thriller",Telugu
Kingston,2025,4.2,Kamal Prakash,"Prakash Kumar,Divya Bharathi",309,4636.0,"Parallel Universe Pictures, Vipin Agnihotri Films, Zee Studios",139,Drama,Tamil
Jai Bhim,2021,8.7,T.J. Gnanavel,"Suriya,Lijo Mol Jose,Manikandan K.",225000,481860.0,2D Entertainment,164,"Drama, Crime",Tamil
Dunki,2023,6.5,Rajkumar Hirani,"Taapsee Pannu,Ryan Cretney,Priya Sindher",81000,15473051.0,"Jio Studios, Rajkumar Hirani Films, Red Chillies Entertainment",160,"Comedy, Drama, Romance",Hindi
Salaar,2023,6.6,Prashanth Neel,"Karthikeya Dev,Prithviraj Sukumaran",75000,11958548.0,Hombale Films,175,"Crime, Drama, Thriller",Telugu
Kantara,2022,8.2,Rishab Shetty,"Rishab Shetty,Kishore Kumar G.,Achyuth Kumar",108000,2406221.0,Hombale Films,148,"Adventure, Drama, Thriller",Kannada
Sikandar Ka Muqaddar,2024,6.0,Neeraj Pandey,"Jimmy Shergill,Avinash Tiwary,Tamannaah Bhatia",24000,1061366.5,"Friday Filmworks, Friday Storytellers",142,"Drama, Mystery, Thriller",Hindi
Odela 2,2025,8.1,Ashok Teja,"Tamannaah Bhatia,Hebah Patel",1100,58.0,"Madhu Creations, Sampath Nandi Team Works",150,"Crime, Drama, Thriller",Telugu
Murmur,2025,4.7,HemnathnarayananHemnath Narayanan,"Richie Kapoor,Yuvikha Rajendran",3600,142987.0,"SPK Pictures Private, SPK Pictures, Stand Alone Pictures International",139,"Horror, Thriller",Tamil
Drishyam,2015,8.2,Nishikant Kamat,"Ajay Devgn,Shriya Saran",101000,1061366.5,"Panorama Studios, Rajkumar Theaters Private Limited, Viacom18 Motion Pictures",163,"Drama, Mystery, Thriller",Hindi
Jawan,2023,6.9,Atlee,"Shah Rukh Khan,Vijay Sethupathi",105000,28499044.0,"Red Chillies Entertainment, Red Chillies Entertainment",169,"Crime, Drama, Thriller",Hindi
Evaru,2019,8.1,Venkat Ramji,"Adivi Sesh,Regena Cassandrra,Naveen Chandra",8000,62744.0,PVP Cinema,118,"Mystery, Thriller",Telugu
Padmaavat,2018,7.1,Sanjay Leela Bhansali,"Deepika Padukone,Ranveer Singh,Shahid Kapoor",39000,60510288.0,"Bhansali Productions, Prime Focus, Prime Focus",163,"Drama, History, War",Hindi
My Name Is Khan,2010,7.9,Karan Johar,"Shah Rukh Khan,Sheetal Menon",120000,42345360.0,"Dharma Productions, Fox Searchlight Pictures, Fox Star Studios",165,"Tragedy, Drama, Romance",Hindi
The White Tiger,2021,7.1,Ramin Bahrani,"Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas",67000,131028.0,"Lava Media, ARRAY Filmworks, India Take One Productions",125,"Crime, Drama",Hindi
"Swades: We, the People",2004,8.2,Ashutosh Gowariker,"Shah Rukh Khan,Gayatri Joshi,Kishori Ballal",101000,1953889.0,"Ashutosh Gowariker Productions, Dillywood, UTV Motion Pictures",210,"Drama, Musical",Hindi
Riwaj,2025,7.1,Manoj Sati,"Myra Sareen,Aftab Shivdasani,Adhvik Mahajan",4200,50013.0,Kashish Khan Production,130,Drama,Hindi
Jigra,2024,6.0,Vasan Bala,"Alia Bhatt,Sikandar Kher,Manoj Pahwa",24000,874961.0,"Dharma Productions, Eternal Sunshine Productions",153,"Crime, Drama, Thriller",Hindi
Devara,2024,6.0,Koratala Siva,"Rama Rao Jr,Saif Ali Khan,Janhvi Kapoor",20000,7361414.0,"NTR Arts, Yuvasudha Arts",176,"Action, Drama, Thriller",Telugu
Badass Ravikumar,2025,7.0,Keith Gomes,"Sulabha Arya,Mustafa Askari,Varun Buddhadev",9000,481860.0,"Himesh Reshammiya Melodies, Himesh Reshammiya Melodies",146,"Action, Comedy, Musical",Hindi
Fire,2025,5.4,Jsk Satish Kumar,"Balaji Murugadoss,Chandini Tamilarasan,Rachitha Mahalakshmi",10000,481860.0,JSK Film Corporation,132,"Police Procedural, Crime",Tamil
Andhadhun,2018,8.2,Sriram Raghavan,"Ayushmann Khurrana,Radhika Apte",108000,62475342.0,"Matchbox Pictures, Viacom18 Motion Pictures",139,"Crime, Mystery, Thriller",Hindi
Samara,2023,5.7,Charles Joseph,"Rahman,Bharath Srinivasan,Binoj Villya",5300,2635333.0,Peacock Art House,118,"Adventure, Sci-Fi, Thriller",Tamil
Aavesham,2024,7.8,Jithu Madhavan,"Fahadh Faasil,Mithun Jai Shankar",28000,3694257.0,"Anwar Rasheed Entertainment, Fahadh Faasil and Friends",155,"Action, Comedy",Malayalam
Khel Khel Mein,2024,6.5,Mudassar Aziz,"Akshay Kumar,Ammy Virk,Taapsee Pannu",27000,708371.0,"KKM Film production, T-Series Films, Wakaoo Films",135,"Comedy, Drama",Hindi
Golam,2024,7.2,Samjad,"Ranjith Sajeev,Dileesh Pothan,Sunny Wayne",5700,140355.0,Fragrant Nature,120,"Whodunnit, Crime, Mystery",Malayalam
Mrs,2023,6.7,Arati Kadav,"Sanya Malhotra,Avi Thakral,Nishant Dahiya",5000,176169.0,"Baweja Studios, Jio Studios",111,"Comedy, Drama",Hindi
Article 15,2019,8.1,Anubhav Sinha,"Ayushmann Khurrana,Manoj Pahwa",38000,734514.0,"Benaras Mediaworks, Zee Studios",130,"Drama, Mystery, Thriller",Hindi
Kaithi,2019,8.4,Lokesh Kanagaraj,Arjun Das,46000,522938.0,"Dream Warrior Pictures, Vivekananda Pictures",145,"Action, Crime, Thriller",Tamil
Sardar Udham,2021,8.3,Shoojit Sircar,"Vicky Kaushal,Shaun Scott,Stephen Hogan",49000,274675.0,"Kino Works, Rising Sun Films",164,"Crime, Drama, History",Hindi
Manjummel Boys,2024,8.2,Chidambaram,"Soubin Shahir,Sreenath Bhasi,Balu Varghese",27000,3784106.0,"Parava Films, Sree Gokulam Movies",135,"Adventure, Drama, Thriller",Malayalam
The Mehta Boys,2024,7.1,Boman Irani,"Boman Irani,Avinash Tiwary,Shreya Chaudhry",2600,50013.0,"Chalkboard Entertainment, Irani Movietone",116,Drama,Hindi
Daaku Maharaaj,2025,5.9,Bobby Kolli,"Nandamuri Balakrishna,Bobby Deol,Pragya Jaiswal",4100,157823.0,"Fortune Four Cinemas, Sithara Entertainments, Srikara Studios",150,"Action, Adventure, Drama",Telugu
Kal Ho Naa Ho,2003,7.9,Nikkhil Advani,"Shah Rukh Khan,Saif Ali Khan",78000,13214520.0,Dharma Productions,186,"Drama, Musical, Romance",Hindi
Bhool Bhulaiyaa 3,2024,4.6,Anees Bazmee,"Kartik Aaryan,Vidya Balan,Madhuri Dixit",78000,5646134.0,Super Cassettes Industries Limited (T-Series)T-Series,158,"Comedy, Fantasy, Horror",Hindi
Kabir Singh,2019,7.0,Sandeep Reddy Vanga,"Shahid Kapoor,Kiara Advani,Nikita Dutta",43000,2445252.0,"Cine1 Studios, T-Series",173,"Drama, Romance",Hindi
Maharaj,2024,6.5,Siddharth P Malhotra,"Junaid Khan,Jaideep Ahlawat,Shalini Pandey",15000,22459511.0,Yash Raj Films,131,"Drama, History, Thriller",Hindi
The Lunchbox,2013,7.8,Ritesh Batra,"Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui",64000,11621785.0,"Sikhya Entertainment, DAR Motion Pictures, National Film Development Corporation of India (NFDC)",104,"Drama, Romance",Hindi
Dangerous,2022,5.4,Ram Gopal Varma,"Naina Ganguly,Rajpal Naurang Yadav, Mithu Purandare",1800,38090.5,"Company, Spark",99,"Drama, Romance, Thriller",Hindi
Stree,2018,7.5,Amar Kaushik,"Rajkummar Rao,Shraddha Kapoor,Pankaj Tripathi",45000,22075730.0,"D2R Films, Maddock Films, Skywalk Films",128,"Comedy, Horror",Hindi
Love Today,2022,8.0,Pradeep Ranganathan,"Pradeep Ranganathan,Yogi Babu",17000,158787.0,AGS Entertainment,154,"Comedy, Drama, Romance",Tamil
Dil Chahta Hai,2001,8.0,Farhan Akhtar,"Aamir Khan,Saif Ali Khan,Akshaye Khanna",78000,316221.0,Excel Entertainment,183,"Comedy, Drama, Romance",Hindi
Aashiqui 2,2013,7.1,Mohit Suri,"Aditya Roy Kapoor,Shraddha Kapoor,Shaad Randhawa",35000,481860.0,Super Cassettes Industries Limited (T-Series)Vishesh Films,132,"Music, Musical, Romance",Hindi
Ratsasan,2018,8.3,Ram Kumar,"Vishnu Vishal,Amala Paul,Radha Ravi",54000,426782.0,Axess Film Factory,146,"Crime, Mystery, Thriller",Tamil
Lapachhapi,2017,7.6,Vishal Furia,"Pooja Sawant,Usha Naik,Vikram Gaikwad",889,85417.0,Midas Touch Movies,120,"Horror, Mystery, Thriller",Marathi
Kudumbasthan,2025,7.4,Rajeshwar Kaliswamy,"Prasanna Balachandran,Jensan Diwakar,Kovai Gurumoorthy",2200,68233.0,Cinemakaaran Productions,154,"Comedy, Drama",Tamil
Sita Ramam,2022,8.5,Hanu Raghavapudi,"Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna",75000,2208029.0,"Swapna Cinema, Vyjayanthi Movies",163,"Drama, Mystery, Romance",Telugu
HIT,2020,7.6,Sailesh Kolanu,"Vishwak Sen,Ruhani Sharma,Murli Sharma",8200,617889.0,"Wall Poster Cinema, Goldmines Telefilms",125,"Drama, Mystery, Thriller",Telugu
Ka,2024,7.1,SandeepSujeeth,Kiran Abbavaram,1600,38511.0,"KA Productions, Srichakraas Entertainments",151,"Action, Thriller",Telugu
Sarileru Neekevvaru,2020,5.8,Anil Ravipudi,"Mahesh Babu,Rashmika Mandanna",9500,37389889.0,"AK Entertainments, G. Mahesh Babu Entertainment, Sri Venkateswara Creations",169,"Action, Comedy, Drama",Telugu
The Family Star,2024,5.4,Parasuram,"Mrunal Thakur,Vijay Deverakonda,Jagapathi Babu",5500,200740.0,"Dil Raju Productions, Sri Venkateshwara Creations",159,"Action, Drama, Romance",Telugu
Mad,2023,7.4,Kalyan Shankar,"Ravi Anthony,Raghu Babu",2500,24867.0,"Fortune Four Cinemas, Haarika & Hassine Creations, Sithara Entertainments",127,Comedy,Telugu
Ala Vaikunthapurramuloo,2020,7.3,Trivikram Srinivas,"Allu Arjun,Pooja Hegde",25000,28477890.0,"Geetha Arts, Haarika & Hassine Creations",163,"Comedy, Drama, Romance",Telugu
Surya's Saturday,2024,7.0,Vivek Athreya,Harsh Roshan,9100,370407.0,DVV Entertainment,166,"Crime, Drama, Thriller",Telugu
